        Gain ABP: 85.953 adu/mmHg
		 Baseline ABP: -1332
	   sample #	    ABP	    ECG	    ICP
            424	  -1332	   -414	   -215
            425	  -1307	   -334	   -322
            426	  -1331	   -173	   -458
            427	  -1321	     20	   -481
            428	  -1333	    142	   -438
            429	  -1302	    140	   -514
            430	  -1332	     31	   -600
            431	  -1322	   -151	   -603
            432	  -1333	   -275	   -548
            433	  -1329	   -354	   -519
            434	  -1328	   -333	   -463
            435	  -1336	   -331	   -427
            436	  -1338	   -305	   -380
            437	  -1336	   -338	   -335
            438	  -1329	   -304	   -350
            439	  -1325	   -336	   -268
            440	  -1300	   -384	   -332
            441	  -1304	   -354	   -364
            442	  -1331	   -324	   -327
            443	  -1302	   -133	   -307
            444	  -1342	    -54	   -283
            445	  -1294	   -308	   -240
            446	  -1329	   -384	   -185
            447	  -1335	   -383	   -118
            448	  -1338	  -1427	    -55
            449	  -1325	   1557	     -1
            450	  -1326	   6153	      5
            451	  -1339	   -703	    -15
            452	  -1332	   -936	     51
            453	  -1305	   -584	    135
            454	  -1335	   -559	    194
            455	  -1341	   -531	    149
            456	  -1321	   -475	     48
            457	  -1300	   -354	   -163
            458	  -1314	   -217	   -229
            459	  -1339	    -40	   -201
            460	  -1325	    178	   -105
            461	  -1321	    202	   -127
            462	  -1333	    108	   -222
            463	  -1302	    -89	   -291
            464	  -1329	   -258	   -279
            465	  -1329	   -338	   -232
            466	  -1336	   -382	   -190
            467	  -1335	   -337	   -168
            468	  -1329	   -342	   -141
            469	  -1325	   -359	   -116
            470	  -1326	   -331	   -143
            471	  -1324	   -332	   -229
            472	  -1328	   -383	   -274
            473	  -1295	   -387	   -275
            474	  -1342	   -340	   -308
            475	  -1331	   -272	   -332
            476	  -1319	    -65	   -374
            477	  -1318	   -293	   -289
            478	  -1339	   -422	   -261
            479	  -1324	   -412	   -143
            480	  -1335	  -1034	    -91
            481	  -1329	    -32	   -112
            482	  -1332	   6834	    -90
            483	  -1328	   -277	    -91
            484	  -1321	  -1002	    -84
            485	  -1338	   -627	    -51
            486	  -1326	   -590	    -55
            487	  -1326	   -561	    -69
            488	  -1315	   -501	   -230
            489	  -1338	   -385	   -375
            490	  -1333	   -278	   -514
            491	  -1321	    -44	   -522
            492	  -1326	    126	   -498
            493	  -1339	    180	   -566
            494	  -1331	     97	   -689
            495	  -1333	   -122	   -697
            496	  -1341	   -277	   -651
            497	  -1324	   -354	   -615
            498	  -1317	   -384	   -603
            499	  -1322	   -342	   -503
